id_mahasiswa,jawaban
62,Mereka mungkin akan sulit beradaptasi dengan lingkungan yang baru.
63,memulai mencari kehidupan yang baru ditempat yang baru dan dengan orang orang yang baru.
64,mereka akan kesulitan untuk mencari negara yang akan menampung mereka.
65,"mecari tempat tinggal akan sulit,dan mencari pekerjaan juga lebih sulit"
66,"mereka akan tinggal di pos atau tenda yang sangvat sederhana, mereka akan kelaparan,kehausan, dan meninggalkan harta benda nya"
67,menjalani lingkungan baru
68,dapat menimbulkan perubahan suhu yang signifikan.
69,tantangannya adalah kehilangan lahan pertanian
70,"Membangun tempat tinggal, kehilangan pekerjaan, berpindah sekolah."
71,kekurangan makanan
72,Beradaptasi dengan lingkungan barunya.
73,harus bisa berapdatasi dengan lingkungan barunya
74,Akan kehilangan hasil pertanian mereka dan harus beradaptasi dengan orang-orang yang ada ditempat baru.
75,meraka akan lama beradaptasi ditempat yang baru
76,pengungsi iklim adalah orang orang yang terpaksa meninggal kan komunitas atau negaranya karena bencana lingkungnan
77,mereka menyelamatkan diri dari bencana alam
78,mereka harus mencari tempat tinggal yang baru bisa jadi sulit mencari tempat tinggal tersebut
79,di karena kan iklim itu d cegahkan dalam proses bencana lingkungan dalam sekitar rumah warna negara
80,"adaptasi lingkungan,ekonomi,kesehatan,sosial dan lain lain"
81,kehilangan tempat tinggal dan lahan pertanian
82,Mereka mungkin akan sulit beradaptasi dilingkungan yang baru
83,biaya trasportasi dan pangan mereka
84,pengungsi iklim akan sulit beradaptasi dengan iklim yang baru
85,Kebutuhan yang sangat sulit di dapatkan
86,mereka harus terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan. Dan memulai kehidupan di tempat baru dengan harus menyesuaikan kehidupan ditempat yang baru
87,tantangannya mereka tidak terbiasa dengan wilayah iklim mereka yang lama
88,yang akan terjadi karena mereka akan tergeltakan di suatu tempat menguksi yang telah di tentukan akibat pengugsian iklim yang berlangsung di tempat tinggal mereka
89,keadaan ini adalah pengecualian dan kehidupan orang-orang sedang di pertaruhkan
90,tantangan yang akan di hadapi oleh para pengungsi yaitu mereka memerlukan tempat berteduh yang cukup untuk mereka semua dan makanan yang cukup untuk mereka
91,mereka harus siap beradaptasi dengan iklim yg ada dipengungsiannya nanti.
92,"harus beradaptasi dengan orang-orang disekitar yang sama-sama mengungsi,berintraksi dengan orang-orang baru"
93,Tantangan yang mereka hadapi yaitu harus menyesuaikan diri di tempat yang baru
94,"iya karena Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”."
95,"mereka akan pinda ke tempat yang lebih tinggi,,tantanganya adalah mereka akan mencari laha atau tempat untuk tinggal dan mencari sumber makanan"
96,ketergantungan hidup mereka berubah
97,harus melakukan adaptasi dengan lingkungann baru itu.
98,mungkin mereka tidak akan diterima di tempat barunya. Atau buruknya mereka akan diusir mentah mentah dari tempat barunya.
99,kekurangan makanan dan pakaian karena ditempat baru yang belum tersedia.
100,kebingungan dengan komunikasi di suatu daerah yang di tempati
101,menyesuaikan keadaan di lingkungan baru
102,sulit beradaptasi dengan lingkungan baru
103,tempat yang disediakan sangatlah minim dan seadanya
104,pengungsi film hancur
105,harus sopan datang ketempat orang
106,tantangan yang dihadapai oleh pengungsi iklim adalah mereka harus menhadapai berbagai ragam iklim sehingga mereka harus belajar menghadapi berbagai iklim
107,"jika mereka pindah ke tempat yang baru, belum tentu semua orang akan cepat beradaptasi dan cocok terhadap lingkungan."
108,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
109,Yang pertama merekan harus bisa beradaptasi di lingkungan yang baru agar bisa bertahan hidup.
110,tidak langsung bisa secepat mungkin bradaptasi di negara yang baru
111,Merasakan sulitnya beradaptasi dengan lingkungan yang baru
112,mereka bersukur karena telah pinda.
113,karna tempat mereka sudah terkena bencana lingkungan karna mereka segera mengungsi iklim dan pindah ketempat baru.
114,warga mungkin di paksa untuk menjadi penginsi iklim
115,harus tinggal dinegara lain
116,ber adaptasi dan harus menerima lingkungan yang baru dan berbeda dari yang sebelumnya
117,bencana lingkungan
118,"pekerjaan, tempat tinggal, lingkungan, penduduk."
119,karna tidak sesuai dengnay
120,bencana lingkungan
121,Salah satu tantangan yang akan dihadapi para pengungsi iklim adalah: Beradaptasi dengan lingkungan sekitar yang mungkin tidak sama dengan tempat semula
122,iklim
123,Mereka akan susah menyusaikan dirinya masing - masing dengan tempat yang baru. Mereka juga bisa saja harus berpisah dengan keluarganya atau komunitasnya.
124,Mengkondisikan tubuh harna berada di iklim yang tidak biasa
125,karena negara tidak bisa di biayai lagi
126,Ketika pindah ke tempat baru pengungsi tersebut tidak mempunyai tempat dan uang yang cukup untuk membangun kembali kegiatan di tempat baru. mereka harus beradaptasi dahulu.
127,mereka mungkin akan kekurangan bahan pangan karena lahan pertanian mereka sebagian besar hilang akibat dampak dari kenaikan permukaan laut
128,SULIT MENYESUIKAN DAERAH TEMPAT TINGGAL YANG BARU
129,Beradaptasi dengan isi lingkungannya yang baru
130,poengungsi iklim
131,mereka harus beradaptasi dengan tempatnya yang baru
132,"sulit beradaptasi dengan lingkungannya yang baru, sulit beradaptasi dengan cucaca yang baru. belum tentu mendapat tempat tinggal yang layak yg sama dengan tempat tinggal sebelumnya. dan juga kesulitan mendapat bahan makanan, minuman, pakaian, obat, dan keperluan lainnya."
133,pengungsi harus bisa beradaptasi dilingkungan baru dan mendapat sedikit prhataian dari pemerintah negara yang ditempati karena mereka hanya pengungsi
134,mereka harus berjuang untuk menghidupi kehidupan mereka
135,Kemampuan adaptasi pengungsi iklim
136,"tantangannya adalah warga travina mungkin pada waktu berpindah bisa saja warga travina kesulitan mencari pulaubaru,belum lgi pada waktu menyebrang bisa terkena ombak besar yang menyebabkan prahu warga travina tengelem dan belum juga warga travina memulai lagi membangun negaranya dari nol"
137,"sulit beradaptasi, tidak biasa dengan lingkuna yang baru"
138,mereka harus ber adaptasi lagi pada tempat yang baru itu.
139,Satu tantangannya adalah tempat tinggal yang memadai
140,"susah untuk mengenal lingkungan,"
141,mereka akan merasakan iklim yang baru
142,karena akan menyebabakan punahnya pengugsi iklm
143,mereka tidak mengenal komunitas ditempat lain dan kemungkinan akan dikucilkan
144,keadaan ini adalah pengecualian dan kehidupan orang- orang Travina sedang di pertaruhkan
145,Mereka terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
146,Beradaptasi lagi kepada lingkungan sekitar
147,harus sabar menunggu bantuan dari pemerintah
148,"akan kehilangan tcetangga, barang-barang berharga yang mungkin saja hilang akibat bencana. dan masih banyak lagi."
149,Mereka harus beradaptasi dengan lingkungan yang baru. Dan mencari mata pencaharian yang tepat di tempat yang baru tersebut. Bila mereka gagal dalam masa adaptasinya pasti akan mengakibatkan pengungsi tersebut depresi dan dikucilkan oleh kelompok masyarakat.
150,lingkungan yang baru dan suasana yang baru begitu pula orang orang yang baru dan susah untuk mendapatkan pekerjaanb juga ditempat tersebut
151,akan sulit beradaptasi dan sulit juga mendapatkan makanan
152,akan mendapatkan kesenagan atau kesusahan
153,kasus pembunuhan dan perampokan
154,"sosialisasi,mungkin masyarakat di travina belum tentu bisa langsung bersosialisasi karena perbedaan bahasa,kebiasaan,tradisi itu akan menyulitkan masyarakat untuk bersosialisasi"
155,tantanganya adalah perlunya adaptasi dengan lingkungan dan iklim serta pengenalan penduduk baru
156,sulit untuk berinteraksi dg masyarakat dan tempat tinggal yg baru
157,mereka akan mengalami kekurangan makan karena makannya yang terbatas dan tidak bisa mengumpul bersama keluarga mlakukan hal tertentu bersama keluarga
158,mungkin ada sebagian orang yang kehilangan keluarganya. mereka tidak bisa membawa barang-barang mereka yang memeng mungkin tidak bisa jika dibawa.
159,Akan kehilangan lahan lahannya
160,bila mereka memang benar-benar mengungsi kemungkinan tidak semua orang yang dutumpangi merasa bersedia untuk tempatnya dijadikan pengungsian .karena belum tentu si pengungsi itu berdampak baik bagi penduduk daerah yang menjadi lahan pengungsian .serta para pengungsi juga harus mandiri dan tidak boleh terlalu bergantung pada warga negara lain.
161,pengungsi akan resah karena pengungsi iklim terpaksa untuk meningalkan negaranya meskipun terkena bencana lingkungan
162,mereka harus bisa beradaptasi dengan lingkungan baru mereka karena mereka telah kehilangan harta kekayaan mereka dan rumah mereka
163,mereka harus kembali beradaptasi dengan lingkungan baru dan meninggalkan pekerjaan mereka di tempat yg lama dan memulai kehidupan dari awal kembali.
164,mereka akan kehilangan pekerjaan mereka.kurangnya pasokan makanan untuk orang2 yang megungsi dll
165,warga dipaksa untuk menjadi pengusi iklim
166,"Menurut saya tantangan yang dihadapi para pengungsi iklim yaitu,mereka akan kehilangan sebagian besar lahan pertanian mereka"
167,"akan merasakan udara yg lebih segar,tetangga baru,permukiman yg lebih indah"
168,kurang beradaptasi dengan lingkungan barunya.
169,"mereka mau tidak mau harus merelakan lahan pertaniannya,dan pada saat mereka pidnndah ke tempat baru pastinya mereka akan ber adaptasi lagi dan juga belum tentu pada saat mereka pindah ke temmpat baru ada transportasinya"
170,ia harus memulai dengn lingkungan yang baru
171,mereka harus beradaptasi kepada lingkungan baru nya dan beradaptasi itu sangat sulit sekali karna tidak seperti biasanya
172,tantangan nya adalah harus meninggal kan lahan pertanian mereka atau meninggal kan sumber penghasilan mereka dengan terpaksa
173,"pekerjaan mereka akan hilang dan sektor pariwisata,perikanan,petanian mereka akan terdampar begitu saja."
174,penduduk baru
175,tidask cocok dengan suhu di tempat lain
176,lingkungan. Apa satu tantangan yang akan dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru? karena bencana lingkungan
177,kehilangan sebagian besar lahan pertanian mereka
178,"salah satu tantangan yang akan dihadapi para pengungsi iklim adalah mereka harus lebih dulu berintereksi terhadap lingkungan yang ada,dengan adanya hal tersebut membuat para pengungsi jadi susah untuk beradaptasi."
179,"Mereka harus beradaptasi dengan lingkungan baru, juga harus mencari pekerjaan baru untuk kelangsungan hidup."
180,adanya wabah penyakit yg di serang
181,pengungsi iklim adalah orang orang yang terpaksa meninggalkan komunitas atau negaranya yang terkena bencana lingkungan
182,"Tantangan yang akan dihadapi para pengungsi iklim saat mereka pindah ke tempat lain yaitu membangun kembali proyek yang sudah mereka bangun saat di travina,beradaptasi dengan lingkungan baru ,serta membangun sistem perekonomian baru/pertanian."
183,mereka mungkin akan kesulitan dalam mencari pekerjaan mereka
184,Beradaptasi dengan lingkungan yang baru dan memulai semuanya dari nol.
185,Aakan berubah adaptasi dan sulit untuk memulai kehidupan yang baru dengan masyarakat yang jarang ditemui
186,karena bencana lingkungan
187,mereka tidak terbiasa dengan iklim dan mereka bisa saja sakit
188,kehilangan tempat tinggal
189,hujan deras
190,Mebiasakan diri dengan kultur dan budaya baru tempat meraka mengungsi.
191,akan kehilangan apa yang ia miliki
192,mereka akan lebih sulit lagi beradaptasi dengan masyarakat yang lain
193,harus bisa beradaptasi dengan lingkungan dan keadaan yang baru
194,karena orang-orang terpaksa meninggalkan komunitas atau negarannya karena terjadinya bencana lingkungan.
195,"mereka akan kesulitan menghidupi hidup mereka. karena, pekerjaan mereka tak menjamin sesuai dengan tempat baru tersebut."
196,Mereka akan kehilangan sedikit atau banyaknya yang mereka miliki saat ini.
197,ekonomi akan mencari nya lebih sulit
198,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
199,kehilangan daerah atau tanah yang mereka miliki
200,Harus beradaptasi dengan tempat baru
201,mengalami sakit karena perpindahan iklim kurangnya tempat tinggal yang nyaman berkurangnya air bersih
202,"Beradaptasi dengan lingkungan baru, dan mau tidak mau harus menerima apapun yang terjadi untuk kelangsungan hidup mereka."
203,beradaptasi dengan lingkungan dan masyarakat baru
204,Akan terjadi pengesuaian terhadap tempat yany di tempati oleh Travina yang akan menduduki tempat lain
205,pengungsi IKlim adalah orang orang yang terpaksa meninggalkan komonitas atau negaranya karena bencana lingkungan
206,adaptasi lingkungan dan iklim yang ada di tempat baru.
207,mereka harus membuat lapangan kerja baru
208,"Pengungsi akan mengalami, krisis ekonomi untuk melakukan perpindahan karena tidak dapat pemasukan dari lahan pertanian maupun pariwisata, gangguan kesehatan, penolkan oleh masyarakat baru di tempat pengunsian."
209,banyak yang harus dimulai dengan nol
210,pengungsi iklim
211,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
212,ketika mereka berpindah mereka akan kehilangan mata pencahariannya sehari-hari.
213,satu tantangan yang akan di hadapi para pengungsi iklim ketika mereka pibdah ke tempat baruyaiti tidak dapat beradaptasi dengan lingkungan baru
214,mereka harus beradaptasi dengan lingkungan hidup yang baru
